Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	CSU	CSU	GB/BHE	GB/BHE	DP	DP	KPD	KPD	BP	BP	GVP	GVP	DRP	DRP	Zentrum	Zentrum	DNS	DNS	SSW	SSW	SHLP	VU	PdgD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																						
1	Husum – Südtondern – Eiderstedt	SH	99548	85026	2033	2529	82993	82497	38730	39384	14173	14043	2630	3065	0	0	8385	8543	9466	7428	414	415	0	0	280	377	0	527	0	0	105	79	8635	8636	175	0	0	0
2	Flensburg	SH	115592	102415	3259	2705	99156	99710	59099	40026	13783	13655	0	2566	0	0	0	14023	0	3201	656	656	0	0	534	501	0	941	0	0	478	252	24606	23889	0	0	0	0
3	Schleswig – Eckernförde	SH	101513	88795	2197	2286	86598	86509	44478	42529	16023	15700	3237	3706	0	0	12546	12521	1213	2396	639	629	0	0	167	190	0	524	0	0	0	51	8295	8263	0	0	0	0
4	Norder- und Süderdithmarschen	SH	95275	83265	2094	2473	81171	80792	43147	41566	19428	19205	2779	3266	0	0	9551	9565	4833	5256	475	467	0	0	227	265	0	432	0	0	0	39	731	731	0	0	0	0
5	Rendsburg	SH	122832	109113	2657	2955	106456	106158	58626	56362	25052	24678	3941	4774	0	0	12025	12016	3264	3880	1204	1218	0	0	397	432	0	1033	0	0	0	103	1674	1662	273	0	0	0
6	Kiel	SH	156211	136721	2099	2378	134622	134343	74869	70885	47459	46463	3893	5118	0	0	3474	4285	0	2417	2905	2967	0	0	428	554	969	1147	0	0	0	69	398	438	227	0	0	0
7	Plön – Eutin/Nord	SH	96939	88119	2174	2148	85945	85971	47047	44997	24653	24428	1681	2305	0	0	10218	10393	1359	2143	651	690	0	0	206	250	0	599	0	0	130	67	0	99	0	0	0	0
8	Oldenburg – Eutin/Süd	SH	94687	84646	3066	2829	81580	81817	38343	36215	22148	23145	0	3138	0	0	14602	13523	0	2863	788	768	0	0	379	346	1128	1061	0	0	413	538	0	220	3779	0	0	0
9	Lübeck	SH	122982	108427	3077	3160	105350	105267	44521	49401	32807	32344	4066	4134	0	0	10342	10030	7571	3668	1597	1635	0	0	510	586	1001	1226	0	0	2261	2046	0	197	674	0	0	0
10	Segeberg – Neumünster	SH	112869	100520	2530	3073	97990	97447	50695	49551	25549	25376	4101	4511	0	0	12500	12499	1940	2450	1097	1184	0	0	151	285	1077	1273	0	0	251	208	0	110	629	0	0	0
11	Steinburg	SH	106153	93549	3281	3079	90268	90470	34683	34939	28800	28483	8040	7960	0	0	10193	9994	6805	6746	1176	1232	0	0	571	495	0	530	0	0	0	24	0	67	0	0	0	0
12	Pinneberg	SH	125630	111264	3538	3660	107726	107604	41895	41400	36309	36099	7011	7169	0	0	13001	12541	6032	6203	2319	2311	0	0	735	716	0	800	0	0	424	265	0	100	0	0	0	0
13	Stormarn	SH	110165	98759	3040	3184	95719	95575	43054	42428	28344	27865	7349	6218	0	0	13966	13104	0	2262	1316	1331	0	0	519	583	0	1023	0	0	850	677	0	84	321	0	0	0
14	Herzogtum Lauenburg	SH	113084	101149	2545	3247	98604	97902	47288	46887	26736	26314	2956	3556	0	0	15049	14063	2876	3257	1173	1307	0	0	318	435	1718	1678	0	0	299	316	0	89	191	0	0	0
901	Schleswig-Holstein	SH	1573480	1391768	37590	39706	1354178	1352062	666475	636570	361264	357798	51684	61486	0	0	145852	157100	45359	54170	16410	16810	0	0	5422	6015	5893	12794	0	0	5211	4734	44339	44585	6269	0	0	0
																																						
15	Hamburg I	HH	163592	136490	3453	3157	133037	133333	70396	51062	47855	46986	0	13584	0	0	3200	2902	0	7736	7151	6945	0	0	1751	1841	2684	2277	0	0	0	0	0	0	0	0	0	0
16	Hamburg II	HH	148744	130633	2762	2654	127871	127979	71128	51144	45332	44496	0	13252	0	0	3422	3299	0	8055	3871	3808	0	0	1567	1705	2551	2220	0	0	0	0	0	0	0	0	0	0
17	Hamburg III	HH	141043	122882	5571	2991	117311	119891	0	42436	48890	46713	0	11588	0	0	3592	2694	55919	8284	5209	5071	0	0	1532	1422	2169	1683	0	0	0	0	0	0	0	0	0	0
18	Hamburg IV	HH	138579	121170	4439	2432	116731	118738	0	47701	40799	39185	64093	14921	0	0	3828	2989	0	6719	3590	3532	0	0	1704	1694	2717	1997	0	0	0	0	0	0	0	0	0	0
19	Hamburg V	HH	161190	143041	6524	3663	136517	139378	0	49753	56659	54118	0	13716	0	0	4690	3346	65039	9512	5138	5032	0	0	2313	1895	2678	2006	0	0	0	0	0	0	0	0	0	0
20	Hamburg VI	HH	175033	153762	3759	3813	150003	149949	73852	55054	61960	60689	0	12981	0	0	4091	3961	0	7776	5175	5075	0	0	1419	1446	3506	2967	0	0	0	0	0	0	0	0	0	0
21	Hamburg VII	HH	151566	134174	6173	3969	128001	130205	0	39290	62680	60443	50533	10639	0	0	4433	3383	0	7344	6353	6220	0	0	1204	1069	2798	1817	0	0	0	0	0	0	0	0	0	0
22	Hamburg VIII	HH	162133	143127	4920	2617	138207	140510	0	52895	52690	50780	72068	18041	0	0	4092	3559	0	6697	4621	4595	0	0	1670	1809	3066	2134	0	0	0	0	0	0	0	0	0	0
902	Hamburg	HH	1241880	1085279	37601	25296	1047678	1059983	215376	389335	416865	403410	186694	108722	0	0	31348	26133	120958	62123	41108	40278	0	0	13160	12881	22169	17101	0	0	0	0	0	0	0	0	0	0
																																						
23	Aurich – Emden	NI	124610	102742	6850	4052	95892	98690	0	27709	41239	39766	34606	11544	0	0	6292	5258	0	2900	2807	2771	0	0	895	976	10053	7766	0	0	0	0	0	0	0	0	0	0
24	Leer	NI	115722	93420	2947	3034	90473	90386	50974	39115	26422	26189	0	8686	0	0	5482	5791	0	2568	825	817	0	0	374	520	6396	6700	0	0	0	0	0	0	0	0	0	0
25	Wilhelmshaven – Friesland	NI	123514	106403	2732	3132	103671	103271	39218	34446	35602	35176	13436	15657	0	0	4951	5309	4310	5103	1438	1481	0	0	458	527	4258	5572	0	0	0	0	0	0	0	0	0	0
26	Emsland	NI	118449	104487	2659	2808	101828	101679	68337	69314	14244	14292	4503	3974	0	0	6047	5995	2696	2473	707	670	0	0	2344	2155	2950	2806	0	0	0	0	0	0	0	0	0	0
27	Bersenbrück – Lingen	NI	108470	99843	1912	1978	97931	97865	63748	63603	19451	19153	2548	2818	0	0	7782	7661	2158	2415	397	399	0	0	283	324	1564	1492	0	0	0	0	0	0	0	0	0	0
28	Osnabrück-Stadt und -Land	NI	159580	142880	3987	3792	138893	139088	72344	71822	37231	36780	7335	7295	0	0	9699	9825	10089	9402	1304	1285	0	0	891	992	0	1687	0	0	0	0	0	0	0	0	0	0
