Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GDP	GDP	DFU	DFU	DRP	DRP	DG	DG	SSW	SSW	WGnD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																												
1	Husum – Südtondern – Eiderstedt	SH	94331	79279	1565	3426	77714	75853	20882	20283	36407	34580	0	0	11563	11973	2881	2884	540	558	622	675	0	48	4819	4852	0	0
2	Flensburg	SH	117510	102061	2782	5135	99279	96926	27159	26549	40474	37978	0	0	12071	12482	3776	3959	861	907	746	758	0	93	14192	14200	0	0
3	Schleswig – Eckernförde	SH	95359	83335	1783	3582	81552	79753	23597	23102	39912	37367	0	0	8961	9918	3492	3646	604	618	578	629	0	57	4408	4416	0	0
4	Norder- und Süderdithmarschen	SH	89960	78538	1745	4529	76793	74009	23184	22548	38933	35768	0	0	10640	11500	2404	2524	401	418	644	625	84	113	503	513	0	0
5	Rendsburg	SH	128577	112845	2107	4838	110738	108007	38293	37300	52799	48903	0	0	13190	14997	3283	3517	1256	1297	964	1008	186	205	767	780	0	0
6	Kiel	SH	168757	148319	2422	6612	145897	141707	68511	65416	57413	52809	0	0	14562	17306	1481	1803	2197	2481	1471	1553	0	68	262	271	0	0
7	Plön – Eutin/Nord	SH	98772	88334	2055	3459	86279	84875	33310	32587	37490	34962	0	0	8988	10448	4981	5182	777	782	733	762	0	102	0	50	0	0
8	Oldenburg – Eutin/Süd	SH	91413	80838	2544	3648	78294	77190	28704	28196	33989	32720	0	0	8509	9206	5734	5614	739	764	619	612	0	42	0	36	0	0
9	Lübeck	SH	130899	114904	2685	7807	112219	107097	45100	43198	48854	45067	0	0	11781	12172	3380	3523	1803	1792	1301	1251	0	55	0	39	0	0
10	Segeberg – Neumünster	SH	118776	105237	2368	5844	102869	99393	36911	35714	43386	40658	0	0	16956	17127	3631	3807	1128	1188	508	539	349	302	0	58	0	0
11	Steinburg	SH	103342	91488	2302	3426	89186	88062	31985	31621	36836	34808	0	0	14615	15439	3677	3939	1110	1142	963	1012	0	64	0	37	0	0
12	Pinneberg	SH	151027	134738	2844	5734	131894	129004	53739	52336	54605	51245	0	0	16993	18379	3415	3744	2305	2342	704	707	133	173	0	78	0	0
13	Stormarn	SH	121225	107976	2554	4921	105422	103055	41319	40229	42491	40164	0	0	14784	15468	4103	4342	2016	2019	709	704	0	66	0	63	0	0
14	Herzogtum Lauenburg	SH	116193	103812	2599	5377	101213	98435	37466	36649	45459	42187	0	0	11235	12204	4118	4336	1662	1643	1273	1279	0	81	0	56	0	0
901	Schleswig-Holstein	SH	1626141	1431704	32355	68338	1399349	1363366	510160	495728	609048	569216	0	0	174848	188619	50356	52820	17399	17951	11835	12114	752	1469	24951	25449	0	0
																												
15	Hamburg I	HH	140439	117415	1945	3828	115470	113587	54588	53656	37120	35609	0	0	16710	17047	949	1030	5059	5143	1044	1102	0	0	0	0	0	0
16	Hamburg II	HH	151788	135442	1672	3404	133770	132038	58250	57373	47667	45388	0	0	21601	22703	1083	1211	4021	4143	1148	1220	0	0	0	0	0	0
17	Hamburg III	HH	155893	137646	1985	3946	135661	133700	64971	63650	43077	41798	0	0	19965	20500	1161	1197	5346	5359	1141	1196	0	0	0	0	0	0
18	Hamburg IV	HH	142434	125726	1603	3707	124123	122019	53570	51668	43551	42086	0	0	20796	21728	1111	1192	3967	4136	1128	1209	0	0	0	0	0	0
19	Hamburg V	HH	203658	182319	2924	4631	179395	177688	82913	81800	57854	56685	0	0	29324	29565	1688	1850	6127	6285	1489	1503	0	0	0	0	0	0
20	Hamburg VI	HH	230300	205903	3097	5718	202806	200185	96902	95489	66657	64499	0	0	28771	29525	2199	2276	6493	6534	1784	1862	0	0	0	0	0	0
21	Hamburg VII	HH	169525	152037	2619	4699	149418	147338	79965	78786	42463	41379	0	0	18428	18454	1327	1415	6084	6160	1151	1144	0	0	0	0	0	0
22	Hamburg VIII	HH	192374	171299	2298	4117	169001	167182	79223	77616	54028	53169	0	0	27324	27733	1563	1677	5573	5682	1290	1305	0	0	0	0	0	0
902	Hamburg	HH	1386411	1227787	18143	34050	1209644	1193737	570382	560038	392417	380613	0	0	182919	187255	11081	11848	42670	43442	10175	10541	0	0	0	0	0	0
																												
23	Aurich – Emden	NI	129417	105457	2513	4762	102944	100695	49998	47874	38462	36272	0	0	8367	10164	2606	2683	2067	2161	1444	1503	0	38	0	0	0	0
24	Leer	NI	117736	95689	2217	4132	93472	91557	34031	33568	46454	41345	0	0	8909	11837	2026	2412	777	917	1275	1428	0	50	0	0	0	0
25	Wilhelmshaven – Friesland	NI	129178	111875	2331	4352	109544	107523	48496	47643	42523	36635	0	0	14431	18352	1190	1557	1413	1501	1491	1758	0	77	0	0	0	0
26	Emsland	NI	127853	115230	2202	4252	113028	110978	22278	21877	75720	74247	0	0	7033	7394	4967	4232	1622	1728	1408	1474	0	26	0	0	0	0
27	Bersenbrück – Lingen	NI	116688	106403	1695	3035	104708	103368	24713	24367	67428	66169	0	0	7526	7811	3563	3465	712	728	766	798	0	30	0	0	0	0
