Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	DFU	DFU	AUD	AUD	CVP	CVP	FSU	FSU	UAP	UAP	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen
																														
1	Flensburg	SH	114222	93928	3374	2280	90554	91648	36074	36586	44415	43090	0	0	7123	8559	1902	2312	888	1019	0	82	0	0	152	0	0	0	0	0
2	Schleswig – Eckernförde	SH	128275	108247	2881	2323	105366	105924	38357	38417	57166	53707	0	0	6968	10336	2322	2695	553	625	0	144	0	0	0	0	0	0	0	0
3	Husum	SH	140338	115183	3514	2596	111669	112587	34560	34722	63672	61417	0	0	9859	12356	2745	3148	703	813	130	131	0	0	0	0	0	0	0	0
4	Steinburg – Süderdithmarschen	SH	139425	120702	4408	2601	116294	118101	41304	42225	60686	58846	0	0	10777	12809	2766	3351	628	722	133	148	0	0	0	0	0	0	0	0
5	Rendsburg – Neumünster	SH	167994	144316	3289	3724	141027	140592	53425	52986	74904	70542	0	0	8913	12948	2382	2755	809	900	594	461	0	0	0	0	0	0	0	0
6	Kiel	SH	179450	154780	3493	1965	151287	152815	74171	71759	65699	63075	0	0	7122	12374	2398	3318	1622	1923	275	366	0	0	0	0	0	0	0	0
7	Plön	SH	132265	114729	3637	2597	111092	112132	44659	44667	56041	53944	0	0	6734	9193	2742	3377	586	666	330	285	0	0	0	0	0	0	0	0
8	Segeberg – Eutin	SH	135466	117375	2879	2827	114496	114548	39749	39299	61340	58738	0	0	9964	12441	2402	2861	702	840	339	369	0	0	0	0	0	0	0	0
9	Pinneberg	SH	164967	144819	5296	2640	139523	142179	56916	56901	69692	67359	0	0	8996	13243	1939	2376	1758	2067	222	233	0	0	0	0	0	0	0	0
10	Stormarn – Herzogtum Lauenburg	SH	207361	181683	4606	4350	177077	177333	67760	67856	90033	84755	0	0	13018	17681	3328	3908	2586	2777	352	356	0	0	0	0	0	0	0	0
11	Lübeck	SH	177503	153232	3681	4349	149551	148883	64792	64483	71410	67153	0	0	7762	10821	3245	3963	2059	2151	283	312	0	0	0	0	0	0	0	0
901	Schleswig-Holstein	SH	1687266	1448994	41058	32252	1407936	1416742	551767	549901	715058	682626	0	0	97236	132761	28171	34064	12894	14503	2658	2887	0	0	152	0	0	0	0	0
																														
12	Hamburg-Mitte	HH	166730	137884	3428	2015	134456	135869	72394	71734	47166	46633	0	0	8907	10827	2158	2250	3831	4158	0	136	0	0	0	131	0	0	0	0
13	Altona	HH	171605	148666	2612	1849	146054	146817	68166	67143	60390	57538	0	0	11460	15139	2586	2904	3264	3709	0	212	0	0	188	172	0	0	0	0
