Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	ADF	ADF	BP	BP	EP	EP	GPD	FSU	FSU	ZENTRUM	UAP	UAP	DV	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																
1	Flensburg	SH	113128	93965	2278	1078	91687	92887	42775	43239	40883	40673	0	0	4313	4378	3016	3971	343	266	0	0	267	269	91	90	0	0	0	0	0	0
2	Schleswig – Eckernförde	SH	128959	109398	1297	1314	108101	108084	43369	44183	56917	53118	0	0	3516	5427	3826	4731	286	330	0	0	187	195	100	0	0	0	0	0	0	0
3	Husum	SH	142181	117498	1883	1535	115615	115963	42612	42123	61470	60677	0	0	6514	7071	4627	5542	392	352	0	0	0	141	57	0	0	0	0	0	0	0
4	Steinburg – Süderdithmarschen	SH	136989	118939	2640	1408	116299	117531	45458	46049	59088	58177	0	0	5958	6085	5324	6558	471	447	0	0	0	132	83	0	0	0	0	0	0	0
5	Rendsburg – Neumünster	SH	166243	142357	2396	1802	139961	140555	60058	58969	69093	67963	0	0	5151	6848	4972	5957	470	474	0	0	217	222	122	0	0	0	0	0	0	0
6	Kiel	SH	174890	148747	2715	1301	146032	147446	79748	76846	55222	56151	0	0	5075	7429	4710	5524	1020	1092	0	0	257	280	124	0	0	0	0	0	0	0
7	Plön	SH	134144	116584	2173	1375	114411	115209	52038	49794	53358	53903	0	0	3718	5129	4761	5660	340	376	0	0	196	212	135	0	0	0	0	0	0	0
8	Segeberg – Eutin	SH	140359	121279	1879	1595	119400	119684	46940	45813	61231	60508	0	0	5592	6713	4845	5781	419	397	0	0	373	334	138	0	0	0	0	0	0	0
9	Pinneberg	SH	177946	157002	3294	1609	153708	155393	71092	70840	70389	68785	0	0	6738	9167	4047	5182	821	851	0	0	511	500	68	110	0	0	0	0	0	0
10	Stormarn – Herzogtum Lauenburg	SH	221470	194847	3714	2055	191133	192792	84413	84164	90656	88003	0	0	7830	10944	6705	8119	918	986	0	0	448	397	179	163	0	0	0	0	0	0
11	Lübeck	SH	175202	151284	2876	1988	148408	149296	74105	71517	64439	63864	0	0	4083	6680	4766	5887	710	810	0	0	305	364	174	0	0	0	0	0	0	0
901	Schleswig-Holstein	SH	1711511	1471900	27145	17060	1444755	1454840	642608	633537	682746	671822	0	0	58488	75871	51599	62912	6190	6381	0	0	2761	3046	1271	363	0	0	0	0	0	0
																																
12	Hamburg-Mitte	HH	143052	119624	2111	918	117513	118706	71363	69528	36069	36678	0	0	4473	5905	3887	4529	1721	1709	0	0	0	230	0	0	127	0	0	0	0	0
13	Altona	HH	169583	148763	1628	963	147135	147800	81317	77509	53358	52364	0	0	5865	10363	4277	5159	1659	1724	0	0	506	516	0	153	165	0	0	0	0	0
14	Eimsbüttel	HH	194263	169103	1894	1106	167209	167997	93542	88300	58529	58986	0	0	7063	11725	5120	6157	1896	2076	0	0	510	513	0	232	240	0	0	0	0	317
15	Hamburg-Nord I	HH	161912	142009	1794	1058	140215	140951	78428	72957	50005	50773	0	0	5558	9866	4040	4977	1578	1744	0	0	396	437	0	210	197	0	0	0	0	0
16	Hamburg-Nord II	HH	120940	106861	1387	796	105474	106065	62780	60299	34069	34397	0	0	4051	5990	3109	3678	1170	1274	0	0	295	316	0	0	111	0	0	0	0	0
17	Wandsbek	HH	233484	207469	2155	1228	205314	206241	115173	108463	72186	72527	0	0	9160	14990	5749	7186	2082	2147	0	0	579	580	0	385	348	0	0	0	0	0
18	Bergedorf	HH	171615	151690	1772	1082	149918	150608	91624	85107	47116	50298	0	0	4921	8134	4115	4934	1562	1523	0	0	399	429	0	181	183	0	0	0	0	0
19	Harburg	HH	146645	129462	1656	1021	127806	128441	76629	74888	40756	41223	0	0	4249	6233	3589	4194	1446	1456	0	0	295	308	0	144	139	0	0	0	0	698
902	Hamburg	HH	1341494	1174981	14397	8172	1160584	1166809	670856	637051	392088	397246	0	0	45340	73206	33886	40814	13114	13653	0	0	2980	3329	0	1305	1510	0	0	0	0	1015
																																
20	Emden – Leer	NI	173686	145672	3166	2458	142506	143214	72402	70188	59209	58601	0	0	4901	6284	5212	7013	782	748	0	0	0	95	198	0	87	0	0	0	0	0
21	Wilhelmshaven	NI	185935	151513	4614	2398	146899	149115	70967	68875	60424	61768	0	0	8347	9769	5718	7507	835	776	0	0	0	198	146	0	76	0	0	0	0	608
22	Oldenburg	NI	177241	146709	4258	2106	142451	144603	61057	60857	56445	58726	0	0	15101	14186	8934	9742	914	706	0	0	0	105	236	0	45	0	0	0	0	0
23	Delmenhorst – Wesermarsch	NI	142388	121126	3265	1798	117861	119328	56426	53887	48156	49228	0	0	7068	8420	5580	6878	631	560	0	0	0	150	157	0	48	0	0	0	0	0
24	Cuxhaven	NI	124908	105145	1795	1520	103350	103625	43531	41439	50258	49579	0	0	4393	5837	4739	6160	300	270	0	0	0	129	113	129	98	0	0	0	0	0
25	Stade	NI	140372	120676	2692	1703	117984	118973	44170	42809	60489	60033	0	0	5576	6745	7429	8885	320	259	0	0	0	104	84	0	54	0	0	0	0	0
26	Emsland	NI	134329	118982	3392	1765	115590	117217	31429	31519	76861	77395	0	0	3954	4249	2970	3534	376	262	0	0	0	70	167	0	21	0	0	0	0	0
27	Cloppenburg	NI	129922	116701	2819	2339	113882	114362	23215	22963	84156	83630	0	0	2839	3401	3277	3947	395	215	0	0	0	76	102	0	28	0	0	0	0	0
28	Hoya	NI	124240	107526	1942	1641	105584	105885	37565	37561	48762	50197	0	0	14187	10909	4729	6499	341	243	0	0	0	115	280	0	81	0	0	0	0	0
29	Verden	NI	147640	129059	2093	1909	126966	127150	59378	52525	55780	59999	0	0	5133	6991	5832	6675	379	452	0	0	221	222	114	243	172	0	0	0	0	0
30	Soltau – Harburg	NI	171105	149715	1981	1871	147734	147844	57143	54912	74653	74266	0	0	7377	8421	7670	8972	566	491	0	0	325	290	424	0	68	0	0	0	0	0
31	Lüneburg – Lüchow-Dannenberg	NI	152682	131351	3397	1600	127954	129751	47899	48132	63637	62886	0	0	6940	7761	8763	9724	424	416	0	0	291	232	546	0	54	0	0	0	0	0
32	Bersenbrück	NI	120302	107798	2152	1762	105646	106036	31070	31371	68363	66874	0	0	2962	3812	2981	3602	270	187	0	0	0	76	102	0	12	0	0	0	0	0
