Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	DKP	DKP	EFP	EFP	FSU	FSU	NPD	NPD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																									
1	Flensburg	SH	120675	107394	1321	676	106073	106718	59159	55446	41549	40769	0	0	4523	9678	309	241	0	54	75	0	458	530	0
2	Schleswig – Eckernförde	SH	136569	122580	1087	845	121493	121735	62473	58380	53336	52988	0	0	4914	9522	272	199	0	63	0	0	498	583	0
3	Nordfriesland – Dithmarschen-Nord	SH	156004	136804	1729	853	135075	135951	62231	60442	62829	62767	0	0	8882	11526	274	240	0	66	0	0	859	910	0
4	Steinburg – Dithmarschen-Süd	SH	149478	135322	1748	1025	133574	134297	62440	61343	65333	62602	0	0	4559	8973	342	246	0	61	0	0	900	1072	0
5	Rendsburg– Neumünster	SH	178993	161586	1699	1141	159887	160445	81880	77656	70636	69417	0	0	6335	12332	283	243	130	90	0	0	623	707	0
6	Kiel	SH	181400	164086	2079	1048	162007	163038	96292	89998	57832	56639	0	0	6548	15237	515	476	130	116	110	0	580	572	0
7	Plön	SH	136790	124497	1315	851	123182	123646	64777	60494	53921	53638	0	0	3570	8513	244	243	89	83	0	0	581	675	0
8	Segeberg – Eutin	SH	196428	179180	1548	1127	177632	178053	87352	80753	80497	79267	0	0	8381	16634	310	263	151	145	0	0	941	991	0
9	Pinneberg	SH	176512	162799	1864	1014	160935	161785	82599	76073	69290	67771	0	0	7913	16730	393	494	168	137	85	0	487	580	0
10	Stormarn – Herzogtum Lauenburg	SH	225642	207700	2122	1239	205578	206461	104201	96477	91118	89324	0	0	8614	19139	551	467	148	123	94	0	852	931	0
11	Lübeck	SH	180686	163072	1956	1045	161116	162027	94677	87384	59625	59958	0	0	5344	13213	438	416	0	72	0	0	1032	984	0
901	Schleswig-Holstein	SH	1839177	1665020	18468	10864	1646552	1654156	858081	804446	705966	695140	0	0	69583	141497	3931	3528	816	1010	364	0	7811	8535	0
																									
12	Hamburg-Mitte	HH	133878	118306	982	718	117324	117588	75786	71602	34275	34407	0	0	5649	10112	1007	843	110	75	0	54	497	495	0
13	Altona	HH	172538	159089	898	688	158191	158401	90590	80568	57478	56644	0	0	8322	19549	1119	903	150	133	0	34	532	570	0
14	Eimsbüttel	HH	192222	176823	1067	780	175756	176043	103139	91971	60829	60831	0	0	9615	21321	1364	1030	162	143	0	64	647	683	0
15	Hamburg-Nord I	HH	156903	144433	947	679	143486	143754	82854	72449	51323	51661	0	0	7486	18058	1130	827	138	131	0	68	555	560	0
16	Hamburg-Nord II	HH	163181	151644	1014	753	150630	150891	93885	86928	46293	46533	0	0	8798	15823	1007	895	134	100	0	57	513	555	0
17	Wandsbek	HH	199589	186199	973	747	185226	185452	101872	89694	68981	68596	0	0	12392	25461	1084	851	162	127	136	112	599	611	0
18	Bergedorf	HH	182563	169029	998	762	168031	168267	107510	97610	51757	52850	0	0	6960	16222	1050	828	151	125	0	36	603	596	0
19	Harburg	HH	147743	137309	874	640	136435	136669	87363	82695	40940	40452	0	0	6530	12061	889	767	92	76	73	55	548	563	0
902	Hamburg	HH	1348617	1242832	7753	5767	1235079	1237065	742999	673517	411876	411974	0	0	65752	138607	8650	6944	1099	910	209	480	4494	4633	0
																									
20	Emden – Leer	NI	188228	169162	1764	1411	167398	167751	102454	96004	59119	58791	0	0	4568	11650	575	432	0	54	0	0	682	820	0
21	Wilhelmshaven	NI	199392	175143	2765	1332	172378	173811	98532	93827	65101	63840	0	0	7667	15011	427	370	0	74	0	0	651	689	0
22	Oldenburg	NI	191690	168876	2142	1126	166734	167750	88229	83960	62876	61042	0	0	13486	20991	694	455	0	62	0	0	1449	1240	0
23	Delmenhorst – Wesermarsch	NI	155265	138728	1530	984	137198	137744	79098	74385	49139	49111	0	0	7680	13042	479	376	0	55	0	0	802	775	0
24	Cuxhaven	NI	134243	120653	1052	801	119601	119852	60924	56689	53459	52890	0	0	4386	9371	240	221	0	44	0	0	592	637	0
25	Stade	NI	155469	139666	1632	772	138034	138894	62998	60392	67679	66198	0	0	5782	10816	262	194	0	63	0	0	1313	1231	0
26	Emsland	NI	148479	136815	1205	1080	135610	135735	45723	44233	84276	82616	0	0	4724	8093	312	209	0	46	0	0	575	538	0
