Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	AUD	AUD	AVP	AVP	C.B.V.	C.B.V.	DKP	DKP	EAP	EAP	5%-BLOCK	5%-BLOCK	GIM	GIM	KPD	KPD	K B W	K B W	NPD	NPD	RFP	UAP	UAP	VL	VL	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																																										
1	FLENSBURG – SCHLESWIG	SH	191090	170022	1077	735	168945	169287	82827	80555	74116	73110	0	0	10989	14582	0	76	87	55	0	0	484	296	0	0	0	0	0	0	0	66	0	123	442	424	0	0	0	0	0	0
2	NORDFRIESLAND – DITHMARSCHEN-NORD	SH	156065	138471	1290	702	137181	137769	59683	58184	66000	66319	0	0	10512	12381	0	67	0	18	0	0	306	196	0	0	0	0	0	0	0	69	199	138	481	397	0	0	0	0	0	0
3	STEINBURG – DITHMARSCHEN-SUED	SH	148132	134536	937	794	133599	133742	59970	59560	64664	63429	0	0	7804	9712	0	53	0	16	0	0	404	286	0	0	0	0	0	0	0	39	111	80	646	567	0	0	0	0	0	0
4	RENDSBURG-ECKERNFOERDE	SH	172119	155657	1357	729	154300	154928	73615	70615	70472	70431	0	0	9398	12928	0	93	0	34	0	0	380	253	0	0	0	0	0	0	0	87	0	141	435	346	0	0	0	0	0	0
5	KIEL	SH	189024	169426	1323	603	168103	168823	96237	92177	60789	60995	0	0	9576	14208	0	90	0	17	0	0	501	456	0	0	0	0	0	0	185	178	439	357	376	345	0	0	0	0	0	0
6	PLOEN – NEUMUENSTER	SH	146055	132955	1061	564	131894	132391	64755	63826	57978	57563	0	0	7909	10060	157	107	0	17	0	0	377	329	0	0	0	0	0	0	0	74	194	137	316	278	0	0	0	0	0	208
7	PINNEBERG	SH	182184	167726	1651	859	166075	166867	76726	74411	74184	73718	0	0	13784	17464	0	68	0	14	0	0	841	701	0	0	0	0	0	0	0	62	146	92	394	337	0	0	0	0	0	0
8	SEGEBERG – STORMARN-NORD	SH	182174	166597	1141	711	165456	165886	72872	69646	78564	77631	0	0	12822	17512	278	143	0	13	0	0	477	385	0	0	0	0	0	0	0	46	0	88	443	422	0	0	0	0	0	0
9	OSTHOLSTEIN	SH	131626	119363	1327	597	118036	118766	54196	54048	55324	54894	0	0	7628	9011	232	120	0	14	0	0	256	196	0	0	0	0	0	0	0	67	0	62	400	354	0	0	0	0	0	0
10	HERZOGTUM LAUENBURG – STORMARN-SUED	SH	190759	176202	1708	863	174494	175339	78647	76223	81097	80345	0	0	13545	17535	0	87	0	25	0	0	699	565	0	0	0	0	0	0	0	66	0	61	506	432	0	0	0	0	0	0
11	LUEBECK	SH	174805	156996	1453	708	155543	156288	84073	80354	62114	62492	0	0	8040	12229	273	184	0	18	0	0	537	441	0	0	0	0	0	0	0	79	0	46	506	445	0	0	0	0	0	0
901	SCHLESWIG-HOLSTEIN	SH	1864033	1687951	14325	7865	1673626	1680086	803601	779599	745302	740927	0	0	112007	147622	940	1088	87	241	0	0	5262	4104	0	0	0	0	0	0	185	833	1089	1325	4945	4347	0	0	0	0	0	208
																																										
12	HAMBURG-MITTE	HH	134520	117856	856	604	117000	117252	67488	66566	39171	38891	0	0	8325	9833	104	84	0	0	0	0	1360	1078	77	53	0	0	0	131	242	197	233	161	0	258	0	0	0	0	0	0
13	ALTONA	HH	163415	148449	736	587	147713	147862	74009	72250	58612	57476	0	0	12599	16114	175	147	0	0	0	0	1256	1034	49	41	0	0	254	146	229	189	120	91	410	374	0	0	0	0	0	0
14	EIMSBUETTEL	HH	184509	167629	974	688	166655	166941	87070	83962	61704	61526	0	0	14673	18635	0	96	0	0	0	0	2015	1612	0	31	0	0	0	153	368	251	310	224	515	451	0	0	0	0	0	0
15	HAMBURG-NORD I	HH	142731	130589	814	615	129775	129974	68308	64583	49309	49081	0	0	9750	14185	0	98	0	0	0	0	1777	1287	0	25	0	0	0	150	0	104	303	176	328	285	0	0	0	0	0	0
16	HAMBURG-NORD II	HH	160106	146600	813	631	145787	145969	81998	82612	47332	47657	0	0	14246	13710	0	92	0	0	0	0	1466	1194	0	14	0	0	0	101	216	157	149	100	380	332	0	0	0	0	0	0
17	WANDSBECK	HH	179178	166291	905	598	165386	165693	79810	76689	67189	66579	0	0	16351	20678	258	145	0	0	0	0	1434	986	0	20	0	0	0	107	0	92	0	69	344	328	0	0	0	0	0	0
18	BERGEDORF	HH	180748	165418	837	715	164581	164703	98286	91418	55617	56260	0	0	8756	15221	145	102	0	0	0	0	1421	1062	0	21	0	0	0	86	0	105	0	72	356	356	0	0	0	0	0	0
19	HARBURG	HH	142266	130250	726	557	129524	129693	76022	76204	41998	41524	0	0	9899	10593	120	67	0	0	0	0	921	775	0	21	0	0	105	65	0	48	78	56	381	340	0	0	0	0	0	0
902	HAMBURG	HH	1287473	1173082	6661	4995	1166421	1168087	632991	614284	420932	418994	0	0	94599	118969	802	831	0	0	0	0	11650	9028	126	226	0	0	359	939	1055	1143	1193	949	2714	2724	0	0	0	0	0	0
																																										
20	EMDEN – LEER	NI	196712	177720	5124	5367	172596	172353	99112	95170	64474	65213	0	0	7698	10778	0	0	0	0	0	0	684	551	0	38	0	0	0	0	0	79	279	184	349	340	0	0	0	0	0	0
21	WILHELMSHAVEN	NI	196892	174799	6680	3272	168119	171527	90448	89308	65931	67899	0	0	10470	13262	0	0	0	0	0	0	575	370	0	51	0	0	0	0	0	79	262	165	433	393	0	0	0	0	0	0
22	OLDENBURG	NI	197034	175250	5210	3314	170040	171936	81055	80048	67202	68291	0	0	19527	21724	0	0	0	0	0	0	1260	864	0	46	0	0	0	0	0	91	311	192	685	680	0	0	0	0	0	0
23	DELMENHORST – WESERMARSCH	NI	155032	138329	4028	3560	134301	134769	69139	68584	51854	51500	0	0	12053	13698	0	0	0	0	0	0	500	346	0	44	0	0	0	0	0	58	245	150	424	389	0	0	0	0	0	86
24	CUXHAVEN	NI	140319	125735	2138	2870	123597	122865	56746	55978	59345	56617	0	0	6741	9390	0	0	0	0	0	0	374	282	0	40	0	0	0	0	0	68	0	47	391	443	0	0	0	0	0	0
25	STADE	NI	164572	149186	3030	2976	146156	146210	63210	62754	73422	71254	0	0	8425	11088	0	0	0	0	0	0	401	272	0	40	0	0	0	0	0	47	0	79	698	676	0	0	0	0	0	0
26	EMSLAND	NI	142883	132126	3656	4332	128470	127794	42272	42047	79896	78790	0	0	5151	6232	0	0	0	0	0	0	842	297	0	15	0	0	0	0	0	39	0	50	309	324	0	0	0	0	0	0
27	CLOPPENBURG	NI	153692	142639	3749	4918	138890	137721	31125	32167	100948	98036	0	0	6201	6924	0	0	0	0	0	0	372	208	0	36	0	0	0	0	0	49	0	47	244	254	0	0	0	0	0	0
28	HOYA	NI	141518	128968	2612	3811	126356	125157	57574	52750	59933	58962	0	0	8176	12629	0	0	0	0	0	0	345	249	0	42	0	0	0	0	0	58	0	93	328	374	0	0	0	0	0	0
29	VERDEN	NI	181740	166593	2690	4011	163903	162582	79467	73212	75308	74896	0	0	7868	13287	0	0	0	0	0	0	591	453	0	43	0	0	0	0	0	69	270	197	399	425	0	0	0	0	0	0
30	SOLTAU – HARBURG	NI	210685	193478	3164	3419	190314	190059	77211	75377	96594	95256	0	0	15236	18145	0	0	0	0	0	0	540	388	0	54	0	0	0	0	0	76	0	70	733	693	0	0	0	0	0	0
31	LUENEBURG – LUECHOW-DANNENBERG	NI	162390	147515	3782	2467	143733	145048	60262	60398	73526	72336	0	0	8483	11125	291	0	0	0	0	0	402	282	0	45	0	0	0	0	0	110	273	192	496	560	0	0	0	0	0	0
32	LINGEN	NI	147795	136763	2855	3428	133908	133335	42737	43128	86237	83408	0	0	4300	6247	0	0	0	0	0	0	415	232	0	25	0	0	0	0	0	28	0	48	219	219	0	0	0	0	0	0
33	OSNABRUECK	NI	205074	188892	3417	4043	185475	184849	83436	80020	90595	89353	0	0	10223	14435	0	0	0	0	0	0	463	339	0	18	0	0	0	0	0	93	429	268	329	323	0	0	0	0	0	0
34	NIENBURG	NI	179318	163138	3516	4855	159622	158283	67828	66108	78565	75872	0	0	12353	15344	0	0	0	0	0	0	376	246	0	37	0	0	0	0	0	76	0	103	500	497	0	0	0	0	0	0
35	SCHAUMBURG	NI	215632	199070	5948	3580	193122	195490	100409	95893	81490	83823	0	0	10347	14899	0	0	0	0	0	0	547	334	0	60	0	0	0	0	0	91	0	60	329	330	0	0	0	0	0	0
36	HANNOVER I	NI	171195	154857	1644	1969	153213	152888	81094	78274	58721	58605	0	0	11757	14703	0	0	0	0	0	0	804	636	64	44	0	0	0	0	194	124	209	163	370	339	0	0	0	0	0	0
37	HANNOVER II	NI	159352	144575	1563	1941	143012	142634	78117	75304	53064	52736	0	0	10349	13344	0	0	0	0	0	0	761	640	64	43	0	0	0	0	216	176	134	102	307	289	0	0	0	0	0	0
38	HANNOVER III	NI	214279	198786	4568	2520	194218	196266	95613	94272	83167	82283	0	0	14017	18580	143	0	0	0	0	0	757	456	164	58	0	0	0	0	0	124	0	121	357	372	0	0	0	0	0	0
39	CELLE	NI	220022	201183	3240	2985	197943	198198	87058	82990	97447	97098	0	0	11850	16611	0	0	0	0	0	0	562	422	0	51	0	0	0	0	0	68	200	130	826	828	0	0	0	0	0	0
40	GIFHORN	NI	185770	171644	4552	4114	167092	167530	76993	76909	80751	79183	0	0	8282	10517	0	0	0	0	0	0	337	293	149	64	0	0	0	0	0	57	152	99	428	408	0	0	0	0	0	0
41	HAMELN – SPRINGE	NI	146423	135400	2558	2434	132842	132966	65521	63980	58559	57862	0	0	8106	10469	0	0	0	0	0	0	360	226	0	33	0	0	0	0	0	49	0	47	296	300	0	0	0	0	0	0
42	HOLZMINDEN	NI	159987	150537	2435	3145	148102	147392	79895	77774	59406	59272	0	0	7959	9577	0	0	0	0	0	0	384	295	0	22	0	0	0	0	0	47	132	96	326	309	0	0	0	0	0	0
43	HILDESHEIM	NI	148425	137578	3318	2968	134260	134610	66237	64696	61252	60166	0	0	5901	9018	0	0	0	0	0	0	393	255	0	24	0	0	0	0	0	60	195	130	282	261	0	0	0	0	0	0
44	SALZGITTER	NI	141703	130830	2093	3026	128737	127804	70742	67975	52548	51967	0	0	4678	7132	0	0	0	0	0	0	323	265	52	48	0	0	0	0	0	61	144	98	250	258	0	0	0	0	0	0
45	BRAUNSCHWEIG	NI	205146	182349	4463	2124	177886	180225	90702	89790	72499	72242	0	0	13073	16809	0	0	0	0	0	0	673	584	0	28	0	0	197	0	0	147	380	262	362	363	0	0	0	0	0	0
46	HELMSTEDT – WOLFSBURG	NI	181722	166788	5546	2800	161242	163988	76060	75442	75902	76431	0	0	8169	11089	0	0	0	0	0	0	388	291	0	24	0	0	0	0	0	80	268	177	455	454	0	0	0	0	0	0
47	GOSLAR – WOLFENBUETTEL	NI	143524	132314	4382	2210	127932	130104	62643	62164	57344	57966	0	0	7168	9227	0	0	0	0	0	0	315	251	0	26	0	0	0	0	0	51	198	131	264	288	0	0	0	0	0	0
48	NORTHEIM	NI	162517	150387	3657	3614	146730	146773	77360	74820	61176	61391	0	0	7337	9627	0	0	0	0	0	0	425	282	0	34	0	0	0	0	0	65	0	135	432	419	0	0	0	0	0	0
49	GOETTINGEN	NI	174327	159947	4160	2325	155787	157622	72090	72170	70491	70435	0	0	11550	13616	0	0	0	0	0	0	886	623	0	32	0	0	0	0	0	77	463	343	307	326	0	0	0	0	0	0
903	NIEDERSACHSEN	NI	5205680	4757376	109778	98398	4647598	4658978	2182156	2129502	2147647	2129143	0	0	283448	369526	434	0	0	0	0	0	16055	11232	493	1165	0	0	197	0	410	2297	4544	3979	12128	12134	0	0	0	0	0	86
																																										
50	BREMEN-OST	HB	197620	180781	1311	912	179470	179869	87981	87423	65487	64777	0	0	22341	24555	148	0	0	53	0	0	1859	1491	83	72	0	0	0	0	0	177	1053	808	518	513	0	0	0	0	0	0
51	BREMEN-WEST	HB	150025	134696	935	707	133761	133989	79234	78245	37856	37960	0	0	13844	15286	0	0	0	29	0	0	1371	1190	86	64	0	0	0	0	248	204	632	550	490	461	0	0	0	0	0	0
52	BREMERHAVEN – BREMEN-NORD	HB	180701	160105	1228	975	158877	159130	89506	89876	51299	51105	0	0	15471	16062	0	0	0	35	0	0	1268	912	73	53	0	0	0	0	267	203	337	289	656	595	0	0	0	0	0	0
904	BREMEN	HB	528346	475582	3474	2594	472108	472988	256721	255544	154642	153842	0	0	51656	55903	148	0	0	117	0	0	4498	3593	242	189	0	0	0	0	515	584	2022	1647	1664	1569	0	0	0	0	0	0
																																										
53	AACHEN-STADT	NW	159095	144558	968	809	143590	143749	67810	60388	69218	70562	0	0	5626	11632	0	116	0	24	0	0	422	439	0	21	0	0	0	65	0	74	198	131	316	276	0	0	12	0	9	0
54	AACHEN-LAND	NW	204208	189787	1562	1291	188225	188496	90607	89967	87566	87530	0	0	8772	9785	0	68	0	21	0	0	749	544	0	10	0	0	0	30	0	62	0	21	531	435	0	0	13	0	10	0
55	HEINSBERG	NW	151141	140456	1212	1170	139244	139286	47063	46890	85562	84667	0	0	5765	6923	0	64	0	8	0	0	376	229	0	18	0	0	0	18	0	38	0	18	478	388	0	0	14	0	11	0
56	DUEREN	NW	191185	176772	1970	1503	174802	175269	73460	73343	92357	91412	0	0	8043	9627	0	75	124	56	0	0	495	315	0	11	0	0	0	18	0	81	0	18	323	287	0	0	12	0	14	0
57	EUSKIRCHEN – ERFTKREIS I	NW	209313	193674	3802	2405	189872	191269	78392	77798	95875	98336	0	0	14583	14119	0	69	0	22	0	0	560	361	0	19	0	0	0	24	0	64	0	40	462	394	0	0	12	0	11	0
58	ERFTKREIS II	NW	202517	185402	3505	2535	181897	182867	84419	81473	82060	81112	0	0	14325	19171	0	79	0	15	0	0	696	475	0	18	0	0	0	39	0	72	0	47	397	343	0	0	5	0	18	0
59	KOELN I	NW	124310	104557	738	616	103819	103941	54542	53058	40082	39589	0	0	7459	9791	0	61	41	34	0	0	797	661	32	23	0	0	81	46	245	212	211	171	283	278	14	0	3	32	14	0
60	KOELN II	NW	122625	106736	653	509	106083	106227	50592	46875	46462	46497	0	0	7839	11771	0	53	0	16	0	0	583	501	41	27	0	0	0	27	182	137	134	110	219	194	0	0	2	31	17	0
61	KOELN III	NW	157389	137000	1021	727	135979	136273	72430	69860	53039	52636	0	0	9035	12442	0	68	0	16	0	0	677	547	53	36	0	0	0	27	240	220	139	91	336	309	30	0	4	0	17	0
