Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	BUERGERP	BUERGERP	C.B.V.	C.B.V.	DKP	DKP	GRUENE	GRUENE	E A P	E A P	K B W	K B W	NPD	NPD	V	V	D F P	D U	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																				
1	FLENSBURG - SCHLESWIG	SH	195615	172073	1355	1260	170718	170813	84836	80411	69371	66095	0	0	13252	21252	0	0	0	0	198	156	2902	2573	0	30	61	29	0	187	98	80	0	0	0	0
2	NORDFRIESLAND - DITHMARSCHEN-NORD	SH	161775	140172	1557	1138	138615	139034	62208	60055	61095	59043	0	0	14911	17465	0	0	0	0	269	112	0	2059	0	20	132	36	0	210	0	34	0	0	0	0
3	STEINBURG - DITHMARSCHEN-SUED	SH	152841	136079	1654	1257	134425	134822	64677	62425	57716	55511	0	0	8586	14658	0	0	0	0	223	167	2276	1714	0	28	47	22	0	267	0	30	0	0	0	900
4	RENDSBURG-ECKERNFOERDE	SH	180189	161481	1555	1115	159926	160366	79655	73306	67609	64721	0	0	10267	19791	0	0	0	0	186	149	2047	2130	55	36	39	26	0	155	68	52	0	0	0	0
5	KIEL	SH	183474	161614	1482	887	160132	160727	93279	86724	53672	51817	0	0	10015	18925	0	0	0	0	366	318	2338	2415	54	40	132	116	0	189	276	183	0	0	0	0
6	PLOEN - NEUMUENSTER	SH	149934	134612	1862	1032	132750	133580	68249	65030	53128	51419	0	0	8882	14865	0	0	0	0	233	215	2118	1770	0	19	48	37	0	156	92	69	0	0	0	0
7	PINNEBERG	SH	191079	173117	2458	1356	170659	171761	82887	77543	67496	65222	0	0	16513	25572	0	0	0	0	566	468	3065	2610	0	36	46	33	0	215	86	62	0	0	0	0
8	SEGEBERG - STORMARN-NORD	SH	198580	177974	1703	1168	176271	176806	80830	75846	76276	71435	0	0	15663	26575	0	0	0	0	286	227	3143	2385	0	27	73	42	0	247	0	22	0	0	0	0
9	OSTHOLSTEIN	SH	138094	123838	1316	959	122522	122879	59750	56641	53313	50690	0	0	9233	13839	0	0	0	0	161	125	0	1364	0	16	65	26	0	146	0	32	0	0	0	0
10	HERZOGTUM LAUENBURG - STORMARN-SUED	SH	205065	185685	2526	1361	183159	184324	85353	80010	78031	74051	0	0	15744	26732	0	0	0	0	349	261	3609	2924	0	25	73	29	0	253	0	39	0	0	0	0
11	LUEBECK	SH	171462	149908	2240	1103	147668	148805	82252	76909	53336	52787	0	0	9766	16878	0	0	0	0	345	276	1816	1576	0	16	32	25	0	265	121	73	0	0	0	0
901	SCHLESWIG-HOLSTEIN	SH	1928108	1716553	19708	12636	1696845	1703917	843976	794900	691043	662791	0	0	132832	216552	0	0	0	0	3182	2474	23314	23520	109	293	748	421	0	2290	741	676	0	0	0	900
																																				
12	HAMBURG-MITTE	HH	176223	150935	1585	1092	149350	149843	85916	84507	43692	42609	0	0	14096	17651	0	0	0	0	1060	914	4329	3727	69	37	85	69	0	265	103	64	0	0	0	0
13	HAMBURG-ALTONA	HH	176236	155962	1575	1176	154387	154786	77769	75075	54120	51857	0	0	15958	22543	0	0	0	0	947	780	5370	4089	0	20	104	77	0	259	119	86	0	0	0	0
