Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GRÜNE	GRÜNE	BWK	BWK	C.B.V.	C.B.V.	DKP	DKP	E A P	E A P	KPD	KPD	NPD	NPD	OE D P	OE D P	U S D	U S D	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																																			
1	FLENSBURG – SCHLESWIG	SH	200057	176621	1299	1141	175322	175480	78172	74342	87111	80949	0	0	3640	10186	6154	9500	0	0	0	0	245	154	0	53	0	52	0	244	0	0	0	0	0
2	NORDFRIESLAND – DITHMARSCHEN-NORD	SH	166737	146163	1222	1201	144941	144962	58569	55889	76367	71151	0	0	4598	10158	5073	7391	0	0	0	0	135	93	0	32	0	30	199	218	0	0	0	0	0
3	STEINBURG – DITHMARSCHEN-SUED	SH	156319	139387	1307	1169	138080	138218	58737	56250	70930	66509	0	0	2906	8447	4910	6453	0	0	0	0	225	147	0	44	0	30	372	338	0	0	0	0	0
4	RENDSBURG-ECKERNFOERDE	SH	186113	167524	1215	1138	166309	166386	72136	67829	87143	80217	0	0	2487	10062	4263	7841	0	0	0	0	202	150	78	62	0	40	0	185	0	0	0	0	0
5	KIEL	SH	182906	160383	1519	1064	158864	159319	85669	79491	65064	61979	0	0	2448	7868	5157	9280	0	0	0	0	395	284	131	90	0	99	0	228	0	0	0	0	0
6	PLOEN – NEUMUENSTER	SH	153560	137220	1706	1119	135514	136101	62867	59323	65596	62445	0	0	2499	7513	3986	6351	0	0	0	0	214	151	74	56	0	62	0	200	0	0	0	0	278
7	PINNEBERG	SH	195852	177684	2045	1221	175639	176463	76018	71066	86936	81651	0	0	4507	12489	7628	10483	0	0	0	0	550	431	0	54	0	43	0	246	0	0	0	0	0
8	SEGEBERG – STORMARN-NORD	SH	207285	186022	1489	1270	184533	184752	74959	70320	97850	89867	0	0	4338	13612	6790	10308	0	0	0	0	260	190	0	47	0	33	336	375	0	0	0	0	0
9	OSTHOLSTEIN	SH	143307	128593	1164	1075	127429	127518	55084	52111	66643	62269	0	0	2203	7646	3384	5168	0	0	0	0	115	88	0	26	0	28	0	182	0	0	0	0	0
10	HERZOGTUM LAUENBURG – STORMARN-SUED	SH	211860	192608	1897	1269	190711	191339	79568	73910	98466	91125	0	0	4666	14583	7587	11126	0	0	0	0	295	212	129	86	0	33	0	264	0	0	0	0	0
11	LUEBECK	SH	171079	149064	1264	1483	147800	147581	71827	68372	67732	64013	0	0	2440	7335	5102	7197	0	0	0	0	319	233	0	18	0	37	380	376	0	0	0	0	0
901	SCHLESWIG-HOLSTEIN	SH	1975075	1761269	16127	13150	1745142	1748119	773606	728903	869838	812175	0	0	36732	109899	60034	91098	0	0	0	0	2955	2133	412	568	0	487	1287	2856	0	0	0	0	278
																																			
12	HAMBURG-MITTE	HH	170794	146114	982	752	145132	145362	78846	74306	53397	50000	0	0	2611	6891	9439	13127	0	0	0	0	839	649	0	44	0	49	0	296	0	0	0	0	0
13	HAMBURG-ALTONA	HH	173908	153711	856	710	152855	153001	72460	67539	64969	58712	0	0	3991	11955	10454	13868	0	0	0	0	683	531	0	42	0	69	298	285	0	0	0	0	0
14	HAMBURG-EIMSBUETTEL	HH	177873	157933	767	606	157166	157327	77277	70892	62688	58276	0	0	4035	10214	12209	16892	0	0	0	0	957	767	0	33	0	49	0	204	0	0	0	0	0
15	HAMBURG-NORD	HH	197981	179610	988	744	178622	178866	81622	74947	78667	71385	0	0	4608	14688	12763	16936	0	0	0	0	962	642	0	36	0	38	0	194	0	0	0	0	0
16	HAMBURG-WANDSBEK	HH	196341	176449	897	694	175552	175755	88043	83371	73775	68221	0	0	4022	11254	9039	12113	0	0	0	0	556	439	117	83	0	36	0	238	0	0	0	0	0
17	HAMBURG-BERGEDORF	HH	183443	162279	931	819	161348	161460	89675	82247	61679	60729	0	0	2444	7823	6968	9856	0	0	0	0	582	455	0	48	0	26	0	276	0	0	0	0	0
18	HAMBURG-HARBURG	HH	145749	129748	909	652	128839	129096	70903	68207	50187	46732	0	0	2272	6101	5075	7382	0	0	0	0	402	338	0	37	0	38	0	261	0	0	0	0	0
902	HAMBURG	HH	1246089	1105844	6330	4977	1099514	1100867	558826	521509	445362	414055	0	0	23983	68926	65947	90174	0	0	0	0	4981	3821	117	323	0	305	298	1754	0	0	0	0	0
																																			
19	AURICH – EMDEN	NI	164283	145327	1708	1498	143619	143829	82012	78832	52072	48809	0	0	2566	7571	6478	8047	0	10	0	0	491	322	0	27	0	0	0	211	0	0	0	0	0
20	UNTEREMS	NI	181726	161446	1552	1337	159894	160109	58737	57874	90866	85185	0	0	3007	9228	6847	7398	0	9	0	0	437	223	0	30	0	0	0	162	0	0	0	0	0
21	FRIESLAND – WILHELMSHAVEN	NI	152338	132102	1408	1109	130694	130993	61672	61312	57918	52761	0	0	3143	8672	7231	7728	0	19	0	0	377	167	0	34	0	0	353	300	0	0	0	0	0
22	OLDENBURG – AMMERLAND	NI	206292	180017	1757	1327	178260	178690	80169	78574	71871	68240	0	0	11605	16591	12825	14191	0	24	0	0	1256	575	0	48	0	0	534	447	0	0	0	0	0
23	DELMENHORST – WESERMARSCH	NI	198092	174456	1791	1347	172665	173109	80558	78045	74348	68883	0	0	7539	14751	9359	10728	0	26	0	0	412	237	0	67	0	0	449	372	0	0	0	0	0
24	CUXHAVEN	NI	149146	131649	1019	892	130630	130757	57738	55063	63346	58671	0	0	2474	8606	6609	7963	0	4	0	0	168	129	0	39	0	0	295	282	0	0	0	0	0
25	STADE	NI	181474	161637	1327	1024	160310	160613	66558	63090	82907	76004	0	0	3274	11902	6729	8919	0	16	0	0	215	155	0	33	0	0	627	494	0	0	0	0	0
26	MITTELEMS	NI	183678	167324	1390	1039	165934	166285	56077	51175	99589	95431	0	0	3217	11180	6650	8087	0	8	0	0	401	206	0	39	0	0	0	159	0	0	0	0	0
27	CLOPPENBURG – VECHTA	NI	150652	137766	1262	1005	136504	136761	24966	25357	102098	97984	0	0	2712	7137	6532	6087	0	8	0	0	196	68	0	30	0	0	0	90	0	0	0	0	0
28	DIEPHOLZ	NI	142909	126976	925	820	126051	126156	51535	47389	63171	58249	0	0	5553	12817	5619	7345	0	5	0	0	173	114	0	38	0	0	0	199	0	0	0	0	0
29	VERDEN	NI	156584	141310	997	872	140313	140438	63887	58153	65421	61193	0	0	3155	9578	7259	11003	0	8	0	0	238	154	0	43	0	0	353	306	0	0	0	0	0
30	SOLTAU – ROTENBURG	NI	141402	126029	997	874	125032	125155	47778	45227	67342	63123	0	0	3495	9206	5668	6981	0	15	0	0	202	121	0	37	0	0	547	445	0	0	0	0	0
31	LUENEBURG – LUECHOW-DANNENBERG	NI	141247	123827	899	804	122928	123023	48171	45971	60178	56163	0	0	4832	9348	9089	10970	0	29	0	0	218	141	0	33	0	0	440	368	0	0	0	0	0
32	OSNABRUECK-LAND	NI	156121	141523	1171	928	140352	140595	53771	50931	76456	70499	0	0	4124	11600	5833	7253	0	2	0	0	168	98	0	46	0	0	0	166	0	0	0	0	0
33	OSNABRUECK	NI	175126	157708	1140	1033	156568	156675	65740	61503	79916	73857	0	0	3737	11429	6567	9360	0	25	0	0	237	163	0	30	0	0	371	308	0	0	0	0	0
34	NIENBURG – SCHAUMBURG	NI	207098	185575	1408	1260	184167	184315	84282	80399	88717	82144	0	0	3796	12038	6715	9134	0	13	0	0	195	131	0	45	0	0	462	411	0	0	0	0	0
