Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CDU	CSU	FDP	FDP	GRÜNE	GRÜNE	ASD	ASD	B P	B P	C.B.V.	C.B.V.	ZENTRUM	ZENTRUM	MUENDIGE	MUENDIGE	FRAUEN	FRAUEN	FAP	FAP	MLPD	MLPD	NPD	NPD	OE D P	OE D P	PATRIOTEN	PATRIOTEN	FAMILIE	SOLIDARITAET	F S U	H P	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																														
1	FLENSBURG – SCHLESWIG	SH	206948	172404	1713	1444	170691	170960	74575	70183	78516	70586	0	0	6233	14583	9937	14229	0	0	0	0	0	0	0	0	0	0	0	542	0	0	0	46	692	701	0	0	104	90	0	0	0	0	0	634
2	NORDFRIESLAND – DITHMARSCHEN-NORD	SH	168591	139788	1536	1272	138252	138516	54786	52218	65092	60484	0	0	8038	13933	9268	10656	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	43	665	692	0	0	0	71	0	0	0	0	0	403
3	STEINBURG – DITHMARSCHEN-SUED	SH	158693	134142	1705	1292	132437	132850	56911	53039	62836	57929	0	0	4752	11468	6717	9105	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	42	871	872	0	0	0	66	0	0	0	0	0	350
4	RENDSBURG-ECKERNFOERDE	SH	192774	165584	1766	1397	163818	164187	70227	65485	79753	69329	0	0	5070	15510	8133	12614	0	0	0	0	0	0	0	0	0	0	0	471	0	0	0	47	0	651	0	0	165	80	0	0	0	0	0	470
5	KIEL	SH	186471	153425	1501	1246	151924	152179	80505	71939	55064	51131	0	0	5316	11934	10034	16017	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	69	0	521	0	0	222	122	0	0	110	0	0	673
6	PLOEN – NEUMUENSTER	SH	157667	134158	1883	1185	132275	132973	60547	56363	57939	54776	0	0	5070	10762	7515	10008	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	32	708	642	0	0	89	86	0	0	0	0	0	407
7	PINNEBERG	SH	205455	176762	2302	1349	174460	175413	72180	66502	80026	74545	0	0	8636	18520	11202	14488	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	51	843	797	0	0	176	121	0	0	0	0	0	1397
8	SEGEBERG – STORMARN-NORD	SH	220451	187030	1889	1439	185141	185591	71308	66154	92102	82339	0	0	9443	20798	10444	14724	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	37	973	946	0	0	111	120	0	0	0	0	0	760
9	OSTHOLSTEIN	SH	148617	126846	1385	1193	125461	125653	52910	49867	60800	55748	0	0	4514	10842	6190	8094	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	33	678	682	0	0	98	83	0	0	0	0	0	271
10	HERZOGTUM LAUENBURG – STORMARN-SUED	SH	222242	192012	1827	1393	190185	190619	73696	68012	92655	83512	0	0	10476	21782	12273	15663	0	0	0	0	0	0	0	0	0	0	0	502	0	0	0	47	0	913	0	0	362	188	0	0	0	0	0	723
11	LUEBECK	SH	171429	138666	1593	1400	137073	137266	63432	59467	59416	55367	0	0	4987	10729	7893	10453	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	38	773	779	0	0	106	98	0	0	0	0	0	466
