Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	CSU	CSU	SPD	SPD	FDP	FDP	GRÜNE	GRÜNE	PDS	PDS	DSU	DSU	B90/Gr	B90/Gr	BP	BP	DDD	DDD	BSA	BSA	LIGA	LIGA	CM	CM	ÖKO-Union	ÖKO-Union	DIE GRAUEN	DIE GRAUEN	Mündige	Mündige	REP	REP	Frauen	Frauen	KPD	KPD	NPD	NPD	ÖDP	ÖDP	Patrioten	Patrioten	SpAD	SpAD	VAA	VAA	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																																										
1	Flensburg – Schleswig	SH	209303	160261	1596	1377	158665	158884	74945	68503	0	0	67074	64493	8150	15865	6107	6208	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1151	0	0	1434	1499	0	0	0	0	391	378	564	341	0	0	0	0	0	0	0	0
2	Nordfriesland – Dithmarschen-Nord	SH	168535	127975	1382	1189	126593	126786	62110	58763	0	0	49866	47251	8316	13608	4858	4580	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	791	0	0	1063	994	0	0	0	0	380	357	0	207	0	0	0	0	0	0	0	0
3	Steinburg – Dithmarschen-Süd	SH	161057	125800	1639	1503	124161	124297	59992	56562	0	0	51460	48425	6877	12384	4223	4260	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	1134	1156	0	0	0	0	475	450	0	190	0	0	0	0	0	0	0	0
4	Rendsburg-Eckernförde	SH	196856	157194	1680	1380	155514	155814	73743	69706	0	0	63416	59243	10641	17493	5820	5954	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	0	0	1603	1622	0	0	0	0	291	283	0	264	0	0	0	0	0	0	0	0
5	Kiel	SH	192930	146889	1698	1235	145191	145654	52841	50934	0	0	74108	66317	9024	15441	6978	8814	0	916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	0	0	1976	1818	0	0	0	0	264	254	0	244	0	0	0	0	0	0	0	0
6	Plön – Neumünster	SH	160016	126067	1598	1236	124469	124831	55370	53607	0	0	54487	50775	8133	13036	4777	4463	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	1356	1337	0	0	0	0	346	324	0	214	0	0	0	0	0	0	0	0
7	Pinneberg	SH	211947	172925	2301	1258	170624	171667	74943	72541	0	0	69159	64387	14746	22799	8254	7143	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175	0	0	2051	2036	0	0	0	0	472	431	532	404	0	0	0	0	0	0	0	467
8	Segeberg – Stormarn-Nord	SH	230925	183903	1667	1347	182236	182556	89752	83337	0	0	66843	63618	13412	23965	7533	6833	0	520	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	1425	1251	0	0	2059	2178	0	0	0	0	474	434	575	420	0	0	0	0	0	0	0	0
9	Ostholstein	SH	152354	120593	1328	1203	119265	119390	59621	55708	0	0	46539	44303	7178	12537	4242	3931	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657	0	0	1351	1438	0	0	0	0	334	309	0	244	0	0	0	0	0	0	0	0
10	Herzogtum Lauenburg – Stormarn-Süd	SH	229520	188489	1523	1456	186966	187033	88587	83460	0	0	70078	65224	15286	25399	7643	7408	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1612	1368	0	0	2495	2464	0	0	0	0	698	612	567	439	0	0	0	0	0	0	0	0
11	Lübeck	SH	172415	129441	1692	1677	127749	127764	54976	52862	0	0	55056	51972	8697	13109	5627	5460	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759	0	0	2500	2281	0	0	0	0	381	374	512	341	0	0	0	0	0	0	0	0
901	Schleswig-Holstein	SH	2085858	1639537	18104	14861	1621433	1624676	746880	705983	0	0	668086	626008	110460	185636	66062	65054	0	5496	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	3037	10162	0	0	19022	18823	0	0	0	0	4506	4206	2750	3308	0	0	0	0	0	0	0	467
																																																										
12	Hamburg-Mitte	HH	168044	121994	1488	1241	120506	120753	41020	39559	0	0	56958	53909	7163	11512	10054	8877	0	2050	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	2429	1715	0	0	2463	2398	0	0	0	0	419	371	0	243	0	0	0	0	0	0	0	0
13	Hamburg-Altona	HH	175112	137260	1344	1073	135916	136187	53965	50126	0	0	56877	51707	10317	17969	9885	9962	0	1928	0	0	0	0	0	0	0	0	0	0	0	0	225	167	0	0	2016	1565	0	0	2133	2069	0	0	0	0	374	365	0	329	0	0	124	0	0	0	0	0
14	Hamburg-Eimsbüttel	HH	183256	144870	1181	922	143689	143948	52405	50111	0	0	62500	58505	11474	17685	12517	10920	0	2214	0	0	0	0	0	0	0	0	0	0	0	0	276	170	0	0	2218	1826	0	0	1988	1941	0	0	0	0	311	302	0	274	0	0	0	0	0	0	0	0
15	Hamburg-Nord	HH	204378	168569	1460	1053	167109	167516	69464	62838	0	0	66565	62773	15566	25001	10900	11031	0	1638	0	0	0	0	0	0	0	0	0	0	0	0	256	171	0	0	2243	1628	0	0	1823	1800	0	0	0	0	292	289	0	347	0	0	0	0	0	0	0	0
16	Hamburg-Wandsbek	HH	197290	157596	1298	1094	156298	156502	62802	59255	0	0	67402	64370	12293	19658	7505	6606	0	1041	0	0	0	0	0	0	0	0	0	0	0	0	233	155	0	0	2265	1810	0	0	2775	2738	0	0	0	0	604	558	0	311	0	0	0	0	0	0	0	419
17	Hamburg-Bergedorf	HH	189918	145161	1771	1496	143390	143665	56633	54726	0	0	65095	61728	9127	15007	6337	5467	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	2175	1656	0	0	3492	3333	0	0	0	0	531	496	0	275	0	0	0	0	0	0	0	0
18	Hamburg-Harburg	HH	145639	113106	1048	950	112058	112156	44603	42718	0	0	53638	49538	5638	10461	3515	4043	0	677	0	0	0	0	0	0	0	0	0	0	0	0	150	124	0	0	1471	1361	0	0	2634	2632	0	0	0	0	409	386	0	216	0	0	0	0	0	0	0	0
902	Hamburg	HH	1263637	988556	9590	7829	978966	980727	380892	359333	0	0	429035	402530	71578	117293	60713	56906	0	10358	0	0	0	0	0	0	0	0	0	0	0	0	1140	1073	0	0	14817	11561	0	0	17308	16911	0	0	0	0	2940	2767	0	1995	0	0	124	0	0	0	0	419
																																																										
19	Aurich – Emden	NI	174206	135768	1931	1607	133837	134161	42370	41421	0	0	76152	74232	5438	9504	7994	6168	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	101	1232	843	0	0	0	982	0	0	0	0	651	321	0	113	0	0	0	0	0	0	0	0
20	Unterems	NI	196205	153822	1584	1274	152238	152548	86231	78340	0	0	54512	55733	4683	9874	6101	5624	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	145	0	674	0	0	0	1063	0	0	0	0	711	433	0	140	0	0	0	0	0	0	0	0
21	Friesland – Wilhelmshaven	NI	155491	118105	1265	1069	116840	117036	49686	46643	0	0	50918	51007	6338	11726	5975	4837	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	108	941	836	0	0	1095	1160	0	0	0	0	241	254	191	140	0	0	0	0	0	0	0	1455
22	Oldenburg – Ammerland	NI	223357	171340	1787	1509	169553	169831	62467	60378	0	0	73996	71240	17538	22875	12205	10840	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	140	2072	1331	0	0	0	1241	0	0	0	0	934	547	341	226	0	0	0	0	0	0	0	0
23	Delmenhorst – Wesermarsch – Oldenburg-Land	NI	210696	162081	1890	1401	160191	160680	59042	59835	0	0	72799	68293	15599	20686	8732	7676	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	134	1553	1183	0	0	1714	1803	0	0	0	0	439	380	313	224	0	0	0	0	0	0	0	0
24	Cuxhaven	NI	152995	120148	1229	924	118919	119224	55023	52305	0	0	50592	47193	6287	11777	5017	4929	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	95	0	806	0	0	1359	1373	0	0	0	0	357	325	284	145	0	0	0	0	0	0	0	0
25	Stade – Rotenburg I	NI	193697	154022	1489	1174	152533	152848	73808	71554	0	0	57380	55445	12836	16096	6244	6223	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	151	0	736	0	0	1426	1389	0	0	0	0	839	589	0	142	0	0	0	0	0	0	0	0
26	Mittelems	NI	198390	163128	1355	1071	161773	162057	92583	92857	0	0	55155	48607	6404	12799	5958	5058	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	144	0	657	0	0	0	794	0	0	0	0	605	339	589	375	0	0	0	0	0	0	0	479
27	Cloppenburg – Vechta	NI	166777	136249	1519	1171	134730	135078	96684	94225	0	0	26721	25658	5331	9347	4913	3862	0	135	0	0	0	0	0	0	0	0	0	0	0	0	735	314	0	142	0	483	0	0	0	590	0	0	0	0	346	179	0	143	0	0	0	0	0	0	0	0
28	Diepholz	NI	150807	118609	1074	779	117535	117830	54454	50792	0	0	42622	42016	12590	16806	6508	5668	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	129	0	634	0	0	1008	1025	0	0	0	0	353	302	0	108	0	0	0	0	0	0	0	0
29	Verden – Osterholz	NI	168950	136227	1314	1053	134913	135174	55159	53778	0	0	60119	53186	8741	16177	8455	8378	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	93	0	906	0	0	1533	1512	0	0	0	0	363	327	310	205	0	0	0	0	0	0	0	233
30	Soltau-Fallingbostel – Rotenburg II	NI	148700	119005	1249	922	117756	118083	59976	58576	0	0	41699	39271	7893	12102	6110	5123	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	149	0	624	0	0	1716	1390	0	0	0	0	362	325	0	159	0	0	0	0	0	0	0	0
31	Lüneburg – Lüchow-Dannenberg	NI	149035	118652	1158	899	117494	117753	54587	52434	0	0	44057	41627	8792	13215	8139	7096	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	146	0	719	0	0	1519	1453	0	0	0	0	400	378	0	123	0	0	0	0	0	0	0	0
32	Osnabrück-Land	NI	167203	136836	1398	1036	135438	135800	69151	66317	0	0	50017	47270	8122	14106	6311	5402	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	143	1178	802	0	0	0	886	0	0	0	0	659	332	0	183	0	0	0	0	0	0	0	0
33	Stadt Osnabrück	NI	188587	152674	1156	1046	151518	151628	71798	67860	0	0	58389	56259	9120	15518	8895	8028	0	561	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	164	1941	1422	0	0	1033	1134	0	0	0	0	342	303	0	220	0	0	0	0	0	0	0	0
34	Nienburg – Schaumburg	NI	214276	170924	1420	1295	169504	169629	77144	73067	0	0	74895	68730	8550	16404	6623	7076	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	194	0	953	0	0	1790	1989	0	0	0	0	502	486	0	192	0	0	0	0	0	0	0	0
35	Harburg	NI	157244	131127	1115	742	130012	130385	63965	59987	0	0	44988	42265	11206	18805	7609	5795	0	418	0	0	0	0	0	0	0	0	0	0	0	0	440	229	0	136	0	787	0	0	1404	1454	0	0	0	0	400	351	0	158	0	0	0	0	0	0	0	0
36	Stadt Hannover I	NI	191915	153728	1339	1109	152389	152619	59583	58092	0	0	66546	62752	12652	17540	8798	8940	0	923	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	108	2043	1626	0	0	2028	1974	0	0	0	0	393	346	346	220	0	0	0	0	0	0	0	0
37	Stadt Hannover II	NI	198160	158497	1629	1296	156868	157201	59978	58065	0	0	69041	64321	12381	17965	10787	11396	0	1370	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	131	2023	1455	0	0	1881	1806	0	0	0	0	302	308	475	255	0	0	0	0	0	0	0	0
38	Hannover-Land I	NI	233944	193079	1914	1475	191165	191604	88417	83188	0	0	78322	72001	13605	23507	7677	7909	0	528	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	171	0	1223	0	0	2199	2224	0	0	0	0	463	417	482	264	0	0	0	0	0	0	0	0
39	Celle – Uelzen	NI	208374	169376	1706	1300	167670	168076	86043	83590	0	0	60619	55082	11495	19078	5996	5614	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	157	0	888	0	0	2236	2222	0	0	0	0	710	629	571	270	0	0	0	0	0	0	0	0
40	Gifhorn – Peine	NI	203004	167646	1564	1447	166082	166199	80220	76996	0	0	67515	64009	9351	14871	6675	5897	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	128	1094	818	0	0	0	2067	0	0	0	0	1227	607	0	197	0	0	0	0	0	0	0	0
41	Hameln-Pyrmont – Holzminden	NI	190839	156852	1786	1329	155066	155523	64132	64028	0	0	71262	66753	10696	14986	6259	5748	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	182	0	796	0	0	1716	1885	405	0	0	0	596	494	0	182	0	0	0	0	0	0	0	0
42	Hannover-Land II	NI	208714	175648	1727	1369	173921	174279	78136	72940	0	0	74030	69501	11713	20195	7352	7039	0	525	0	0	0	0	0	0	0	0	0	0	0	0	289	169	0	175	0	1085	0	0	2010	2092	0	0	0	0	391	353	0	205	0	0	0	0	0	0	0	0
43	Hildesheim	NI	223207	186776	1903	1468	184873	185308	76204	79514	0	0	87577	78236	10182	16162	8336	6761	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	153	0	912	0	0	2059	2198	0	0	0	0	515	472	0	201	0	0	0	0	0	0	0	0
44	Salzgitter – Wolfenbüttel	NI	180519	146483	1271	1223	145212	145260	65799	65753	0	0	65863	59778	6016	11248	4496	4561	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	121	961	918	0	0	1660	1761	0	0	0	0	417	432	0	139	0	0	0	0	0	0	0	0
45	Braunschweig	NI	207201	164350	1628	1030	162722	163320	72131	69746	0	0	64550	62344	11305	17436	9986	8816	0	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	169	1843	1248	0	0	1610	1729	0	0	0	0	362	351	423	278	0	0	0	0	0	0	0	512
46	Helmstedt – Wolfsburg	NI	176462	142585	1479	1374	141106	141211	71335	70018	0	0	54149	51910	7081	10969	5613	4482	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	145	1359	923	0	0	0	1312	0	0	0	0	1569	892	0	105	0	0	0	0	0	0	0	0
47	Goslar	NI	151767	121860	1440	978	120420	120882	57657	55808	0	0	48289	46186	8591	12058	5029	3491	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	130	0	762	0	0	0	1483	0	0	0	0	854	454	0	113	0	0	0	0	0	0	0	0
48	Northeim – Osterode	NI	169812	140298	1591	1220	138707	139078	60597	57092	0	0	64983	61517	6891	12692	4373	4635	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	151	0	568	0	0	1487	1572	0	0	0	0	376	343	0	126	0	0	0	0	0	0	0	0
49	Göttingen	NI	199848	164308	1755	1228	162553	163080	78818	64469	0	0	63804	63506	7068	18085	9589	12377	0	1202	0	0	0	0	0	0	0	0	0	0	0	0	0	120	1106	426	0	783	0	0	0	1371	0	0	0	0	980	478	328	263	0	0	0	0	0	0	0	860
