Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	CSU	CSU	GRÜNE	GRÜNE	PDS	PDS	REP	REP	APD	APD	BP	BP	BüSo	BüSo	BSA	BSA	LIGA	LIGA	CM	CM	ZENTRUM	ZENTRUM	GRAUE	GRAUE	NATURGESETZ	NATURGESETZ	MLPD	MLPD	Tierschutz	Tierschutz	ödp	ödp	PBC	PBC	PASS	PASS	STATT Partei	STATT Partei	BGD	DKP	DSU	DVP	DEMOKRATEN	FBU	FSU	KPD	LD	UAP	Einzelbewerber
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
1	Flensburg - Schleswig	SH	212186	168760	1673	1590	167087	167170	76171	67461	74308	70416	3720	11575	0	0	9841	13061	0	1614	1402	1378	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	882	593	0	38	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Nordfriesland - Dithmarschen-Nord	SH	169258	133381	1304	1256	132077	132125	63877	57572	53466	50937	4083	10965	0	0	8998	9551	0	956	1083	1004	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	363	0	20	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
3	Steinburg - Dithmarschen-Süd	SH	162142	130369	1416	1361	128953	129008	61111	55602	54829	51848	3392	9138	0	0	7912	9098	0	1053	1360	1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	351	0	28	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349
4	Rendsburg-Eckernförde	SH	200647	165099	1621	1452	163478	163647	76592	68775	69822	64463	4749	13035	0	0	9708	12837	0	1494	1499	1474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	664	528	0	24	0	0	444	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Kiel	SH	190268	149583	1662	1304	147921	148279	51525	49244	78002	66012	4197	9166	0	0	12303	17715	0	2952	1675	1631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	454	0	52	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0
6	Plön - Neumünster	SH	160140	128964	1756	1286	127208	127678	57319	52721	56064	53722	3745	8310	0	0	8607	9061	0	1391	1473	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	361	0	25	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Pinneberg	SH	216646	181288	1985	1367	179303	179921	80206	74188	74875	68310	6700	15097	0	0	14595	16229	0	2221	2332	2090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1083	0	430	0	31	0	0	0	242	0	0	0	0	0	0	0	347	0	0	0	0	248	0	0	0	0
8	Segeberg - Stormarn-Nord	SH	241055	196675	2427	1563	194248	195112	95539	85813	74426	71339	7101	15921	0	0	15025	15501	0	2180	0	2002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096	0	508	0	28	0	0	1215	724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942
9	Ostholstein	SH	154611	124768	1369	1237	123399	123531	60627	54939	50908	48253	3119	8846	0	0	7083	8055	0	1065	1317	1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	0	269	0	18	0	0	345	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Herzogtum Lauenburg - Stormarn-Süd	SH	235117	197389	1931	1607	195458	195782	93851	85004	76199	69168	6720	16534	0	0	15560	18071	0	2252	3128	2668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	0	580	0	38	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	Lübeck	SH	171209	132575	2123	1671	130452	130904	55414	51048	59552	56323	3775	7449	0	0	10178	11174	0	1811	0	1683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	904	431	0	26	0	0	629	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901	Schleswig-Holstein	SH	2113279	1708851	19267	15694	1689584	1693157	772232	702367	722451	670791	51301	126036	0	0	119810	140353	0	18989	15269	17731	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8188	2450	4868	0	328	0	0	2633	3506	0	0	0	0	0	0	0	347	0	0	0	0	467	0	0	0	1502
																																																															
