Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	PDS	PDS	Deutschland	Deutschland	APPD	APPD	APD	APD	BP	BP	BüSo	BüSo	BFB	BFB	CHANCE 2000	CHANCE 2000	CM	CM	DPD	DPD	DVU	GRAUE	GRAUE	REP	REP	FAMILIE	FAMILIE	DIE FRAUEN	DIE FRAUEN	HP	HP	Pro DM	MLPD	MLPD	Tierschutz	Tierschutz	NPD	NPD	NATURGESETZ	NATURGESETZ	FORUM	FORUM	ödp	ödp	PBC	PBC	AB 2000	AB 2000	Nichtwähler	PASS	PASS	PSG	DKP	DSU	ZENTRUM	DMP	FP Deutschl.	FSU	STATT Partei	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																																																														
1	Flensburg - Schleswig	901	213986	173484	2363	2366	171121	171118	85820	80745	72516	60513	0	0	5526	10861	3094	11250	1750	2269	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	1735	687	541	1420	614	0	0	0	202	0	0	1816	0	0	0	0	0	156	0	0	0	0	0	181	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Nordfriesland - Dithmarschen-Nord	901	171687	138967	2609	2374	136358	136593	62935	59235	62087	53565	0	0	5103	7518	3994	10679	1437	1524	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	1399	802	420	0	229	0	0	0	200	0	0	1286	0	0	0	0	0	238	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Steinburg - Dithmarschen-Süd	901	164311	135219	2340	2166	132879	133053	64816	60547	58856	50058	0	0	4245	6770	3354	9794	1608	1543	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	1886	0	286	0	302	0	0	0	107	0	0	1269	0	0	0	0	0	225	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Rendsburg-Eckernförde	901	206958	173074	2250	2210	170824	170864	83317	76020	72379	62640	0	0	5731	10717	4822	13976	1629	2187	0	0	0	0	0	0	0	0	0	0	1195	562	0	0	0	0	0	0	1663	793	532	0	386	0	0	0	154	0	0	1621	0	0	0	0	0	250	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958
5	Kiel	901	181661	144804	1925	1870	142879	142934	78512	70313	46022	40038	0	0	8572	14674	5064	9821	2440	3440	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	1471	628	476	1484	703	0	0	0	222	0	0	1227	0	0	0	0	0	213	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0
6	Plön - Neumünster	901	161772	133368	2305	1840	131063	131528	67049	62719	52527	46064	0	0	5012	7613	3424	8805	0	1934	0	0	0	0	0	0	0	0	0	0	680	410	0	0	0	0	0	0	1695	0	290	1452	559	0	0	0	133	0	0	999	0	0	0	0	0	210	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	0
7	Pinneberg	901	219335	185688	2972	1917	182716	183771	87477	82539	76822	65095	0	0	8635	12138	6136	15198	2195	2709	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	2813	0	551	0	520	0	0	0	169	0	0	1224	0	0	0	0	0	264	0	0	0	0	0	149	0	0	0	0	0	0	0	0	323	0	0	0	0	244	884	0
8	Segeberg - Stormarn-Nord	901	236834	197410	2456	2394	194954	195016	91101	85023	86052	72638	0	0	6730	11637	5729	16575	2283	2902	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	2491	668	506	1866	918	0	0	0	205	0	0	1196	0	0	0	0	0	258	0	0	0	0	525	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
