Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	DIE LINKE	DIE LINKE	Offensive D	Offensive D	REP	REP	NPD	NPD	Die Tierschutzpartei	Die Tierschutzpartei	GRAUE	GRAUE	PBC	PBC	DIE FRAUEN	DIE FRAUEN	FAMILIE	FAMILIE	BüSo	BüSo	BP	BP	ZENTRUM	ZENTRUM	Deutschland	Deutschland	AGFG	AGFG	APPD	APPD	50Plus	50Plus	MLPD	MLPD	Die PARTEI	Die PARTEI	PSG	PSG	Pro DM	Pro DM	CM	CM	DSU	DSU	HP	HP	HUMANWIRTSCHAFTS- PARTEI	HUMANWIRTSCHAFTS- PARTEI	STATT Partei	STATT Partei	UNABHÄNGIGE	UNABHÄNGIGE	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																								
1	Flensburg - Schleswig	1	220967	171827	2674	2596	169153	169231	74802	66099	74480	61535			7068	13597	5347	16397	6150	8120					1306	1359										2025																99																				
2	Nordfriesland - Dithmarschen Nord	1	184580	143778	2280	2058	141498	141720	56380	51307	67786	59034			5670	8854	5907	14270	4542	5475					1213	1190										1508																82																				
3	Steinburg - Dithmarschen Süd	1	177200	139014	2098	2108	136916	136906	56428	49715	61471	53340			4480	8979	6024	14701	4899	6288					1471	1665									2143	2129																89																				
4	Rendsburg-Eckernförde	1	197355	158841	2187	2062	156654	156779	68480	59001	69082	59743			6164	12613	5607	15507	5106	6522					1454	1457										1835																101																			761	
5	Kiel	1	194234	151040	2250	2048	148790	148992	75473	61777	50437	42945			9196	18995	4509	13190	6103	8899					1313	1377									1759	1657																152																				
6	Plön - Neumünster	1	174075	136982	2560	2100	134422	134882	63207	53258	57110	48910			5166	10345	4798	12945		6009					1800	1526									2341	1778																111																				
7	Pinneberg	1	227185	185609	2646	2287	182963	183322	78236	68570	80935	67534			9118	16610	6743	18796	6142	8043					1789	1770										1906																93																				
8	Segeberg - Stormarn-Nord	1	233522	188632	2179	2107	186453	186525	79520	68214	81812	68553			7522	16110	7530	21167	5971	8166					1550	1707									2548	2517																91																				
9	Ostholstein	1	177834	140965	1930	1842	139035	139123	61947	53947	60608	52564			3798	9353	5402	14442	4363	5794					1201	1350									1716	1608																65																				
10	Herzogtum Lauenburg - Stormarn-Süd	1	232711	190357	3409	2458	186948	187899	82387	67206	83029	69894			9499	17328	8955	21046		8203					3078	2308										1808																106																				
