Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	FDP	FDP	DIE LINKE	DIE LINKE	GRÜNE	GRÜNE	CSU	CSU	NPD	NPD	REP	REP	FAMILIE	FAMILIE	Die Tierschutzpartei	Die Tierschutzpartei	PBC	PBC	MLPD	MLPD	BüSo	BüSo	BP	BP	PSG	PSG	Volksabstimmung	Volksabstimmung	ZENTRUM	ZENTRUM	ADM	ADM	CM	CM	DKP	DKP	DVU	DVU	DIE VIOLETTEN	DIE VIOLETTEN	FWD	FWD	ödp	ödp	PIRATEN	PIRATEN	RRP	RRP	RENTNER	RENTNER	Freie Union	Freie Union	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																		
1	Flensburg - Schleswig	1	225216	163329	4117	4181	159212	159148	52139	41793	61793	51068	15292	24187	11918	13481	16399	21967			1302	1240										47									369									159								3385				1821				
2	Nordfriesland - Dithmarschen Nord	1	187047	134671	3382	3218	131289	131453	36642	32239	56751	47947	15184	22605	8208	8836	12840	14927			1231	1126										53																		194								2233				1293			433	
3	Steinburg - Dithmarschen Süd	1	177604	128320	3348	3030	124972	125290	37277	31282	49779	43480	16037	21970	8896	9808	10665	12899			1603	1512										44																		142								2549				1604			715	
4	Rendsburg-Eckernförde	1	198910	150018	3404	3026	146614	146992	47610	39253	58876	49789	14317	23442	8729	9821	14790	18751			1344	1220										55																		136								2985				1540			948	
5	Kiel	1	200347	145483	3442	2263	142041	143220	54398	42369	42733	36397	12188	19156	11817	13430	18699	24659			1392	1275										80																		139								4267				1448			814	
6	Plön - Neumünster	1	175132	127971	3292	3031	124679	124940	41683	35557	48136	40110	12515	19772	7871	8936	12187	15701			1363	1315										42																		131								2281				1095			924	
7	Pinneberg	1	232899	176188	3384	3193	172804	172995	54950	45540	70458	57203	17018	28640	11794	13412	16143	20978			1912	1743										56																		193								3659				1571			529	
8	Segeberg - Stormarn-Nord	1	240010	180295	3674	3303	176621	176992	54065	44445	70290	58225	20084	31407	12527	14280	16633	21245			1797	1687										58																		233								3598				1814			1225	
9	Ostholstein	1	179987	131917	4043	3094	127874	128823	43765	36329	49363	42193	14397	22701	8235	9342	10411	13651			1270	1192										43																		132								2062				1178			433	
10	Herzogtum Lauenburg - Stormarn-Süd	1	237144	181568	3884	3259	177684	178309	53073	45354	70874	59075	19742	30714	12351	13855	18761	22240			2330	2126										48																		204	553							3248				1445				
11	Lübeck	1	180424	124624	3524	3284	121100	121340	44393	36578	36745	32970	13296	17173	10973	12002	14098	16764			1595	1412										90																		144								3010				1197				
901	Schleswig-Holstein	99	2234720	1644384	39494	34882	1604890	1609502	519995	430739	615798	518457	170070	261767	113319	127203	161626	203782			17139	15848										616									369									1807	553							33277				16006			6021	
																																																																		
12	Wismar - Nordwestmecklenburg - Parchim	13	216789	136923	2448	2114	134475	134809	27590	25047	45383	44340	9969	12865	40419	38466	6520	7139			3976	3766		195								246																										2745							618	
13	Schwerin - Ludwigslust	13	183166	120292	2032	1728	118260	118564	30247	24464	34633	36653	9401	11405	33681	32623	6353	6833			3945	3598		198								211																										2579								
14	Rostock	13	198527	130659	2157	1911	128502	128748	25389	23223	34517	34759	8517	12234	41539	40045	13727	10772			3215	2999		177							554	324																										4215							1044	
15	Stralsund - Nordvorpommern - Rügen	13	199517	119369	2063	2269	117306	117100	14040	15048	57865	43650	5668	13087	30935	33522	3735	5349			3262	3434		236								210																										2564							1801	
16	Greifswald - Demmin - Ostvorpommern	13	204944	123824	2460	2324	121364	121500	15995	14941	46147	44679	10414	12686	35385	34198	5736	6241			5552	5274		301								212																										2968							2135	
17	Bad Doberan - Güstrow - Müritz	13	211429	132878	2616	2326	130262	130552	28457	22778	45176	44654	9485	13038	35601	36412	6255	6762			4118	3869		237								277																							523			2525							647	
18	Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow	13	185926	118231	2691	2237	115540	115994	19696	18106	38102	38746	8015	9888	37851	36270	4500	4745			5733	5283		239								250																										2467							1643	
913	Mecklenburg-Vorpommern	99	1400298	882176	16467	14909	865709	867267	161414	143607	301823	287481	61469	85203	255411	251536	46826	47841			29801	28223		1583							554	1730																							523			20063							7888	
																																																																		
19	Hamburg-Mitte	2	252967	167220	2727	2089	164493	165131	56809	46419	43587	38689	12818	19105	21718	22702	27213	27865			2348	1822										132																		243						675		6303				1176				
20	Hamburg-Altona	2	173956	130630	1475	1294	129155	129336	46522	32633	38969	33916	10517	17028	12605	15670	17799	24462			771	795									158	84	151																	104					709	545		3344				755			954	
21	Hamburg-Eimsbüttel	2	186357	142023	1891	1298	140132	140725	33364	37722	43714	37695	11732	18851	12540	14732	36518	25819			969	799										70																		144						428		3531				934			1295	
