Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	DIE LINKE	DIE LINKE	GRÜNE	GRÜNE	CSU	CSU	PIRATEN	PIRATEN	NPD	NPD	Tierschutzpartei	Tierschutzpartei	REP	REP	ÖDP	ÖDP	FAMILIE	FAMILIE	Bündnis 21/RRP	Bündnis 21/RRP	RENTNER	RENTNER	BP	BP	PBC	PBC	BüSo	BüSo	DIE VIOLETTEN	DIE VIOLETTEN	MLPD	MLPD	Volksabstimmung	Volksabstimmung	PSG	PSG	AfD	AfD	BIG	BIG	pro Deutschland	pro Deutschland	DIE RECHTE	DIE RECHTE	DIE FRAUEN	DIE FRAUEN	FREIE WÄHLER	FREIE WÄHLER	Nichtwähler	Nichtwähler	PARTEI DER VERNUNFT	PARTEI DER VERNUNFT	Die PARTEI	Die PARTEI	B	B	BGD	BGD	DKP	DKP	NEIN!	NEIN!	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																														
1	Flensburg - Schleswig	1	226944	162749	2223	2113	160526	160636	68235	61347	59718	52396	3039	8065	7436	9084	12491	15734			3418	3183	955	929		1459										790										44					5234	6563										1042																
2	Nordfriesland - Dithmarschen Nord	1	186177	131527	1648	1483	129879	130044	64678	56383	41714	38590	3172	8321	4653	5733	8465	10547			2467	2413	757	733		969										561										45					3973	4994										755																
3	Steinburg - Dithmarschen Süd	1	176731	126409	1523	1451	124886	124958	56669	52408	42476	37502	6324	7689	4909	6286	6386	9485			2674	2709	980	1038		930										516										34					4468	5492										869																
4	Rendsburg-Eckernförde	1	198903	149583	1743	1616	147840	147967	66775	60349	54397	46658	2754	8126	4902	6447	10306	13707			2756	2620	866	854		1290										668										32					5084	6500										716																
5	Kiel	1	205243	146452	1674	1483	144778	144969	47925	43893	62271	50262	3069	7708	7622	10023	14435	20394			3575	3946	834	802		1201									920	817										71					4040	5379										473															87	
6	Plön - Neumünster	1	174746	127093	1681	1520	125412	125573	54833	48683	47085	41094	2322	6722	4708	5987	7979	11577			2167	2154	1162	1159		1004										535										46					4837	5901										711															319	
7	Pinneberg	1	235610	179055	1703	1682	177352	177373	80483	72006	64006	55371	3303	9863	6985	8910	11324	15291			3225	3370	1260	1319		1271										665										42					6766	8479										786																
8	Segeberg - Stormarn-Mitte	1	244240	183250	1735	1660	181515	181590	82471	74161	63998	54691	3722	10449	7003	9112	11141	15695			3546	3686	1190	1307		1534										746										46					6879	9034									1565	1129																
9	Ostholstein - Stormarn-Nord	1	180022	131939	1551	1452	130388	130487	59783	53705	48349	41134	2962	8036	4469	5663	7145	10490			2060	2111	723	737		917										489										25					4897	6471										709																
10	Herzogtum Lauenburg - Stormarn-Süd	1	241257	182982	1708	1560	181274	181422	81954	73603	62749	53944	3901	10878	6834	8962	12774	16579			2908	3031	1356	1377		1385										634										43					8351	10210										776															447	
11	Lübeck	1	181923	124711	1563	1440	123148	123271	44896	42218	50119	42083	2958	5857	6662	7970	9475	13638			2825	2994	948	974		918										422										93					4152	5323									1113	781																
901	Schleswig-Holstein	99	2251796	1645750	18752	17460	1626998	1628290	708702	638756	596882	513725	37526	91714	66183	84177	111921	153137			31621	32217	11031	11229		12878									920	6843										521					58681	74346									2678	8747															853	
																																																																														
18	Hamburg-Mitte	2	256862	168465	2445	2252	166020	166213	46753	44947	64997	55721	2878	6458	15693	18124	19943	22645			5733	6442	1245	1257						417						790										92					5525	7186									700	589					1738	1545									815	
